issueType,field,productId,graceSku,websiteSku,family,capacityMl,rawValue,canonicalValue,note
image_prompt_blocked,promptMissingFields,,PB-CYL-454ML-WFLP,PbNat16ozFlpWh,Cylinder,454,hasApplicator | hasCapStyle | hasCapColor | hasDiameter,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,GB-ELG-FRS-15ML-CAP-SBLK,GBElgFrst15BlkShSht,Elegant,15,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,,GB-ELG-FRS-15ML-CAP-SBLK,GBElgFrst15BlkShSht,Elegant,15,hasApplicator | hasCapStyle | hasCapColor | hasDiameter,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,GB-PIL-CLR-9ML-MRL-BDOT,GBPillar9MtlRollBlkdot,Pillar,9,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,,GB-PIL-CLR-9ML-MRL-BDOT,GBPillar9MtlRollBlkdot,Pillar,9,hasApplicator | hasCapStyle | hasCapColor | hasDiameter,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,GB-PIL-CLR-9ML-RBL-BDOT,GBPillar9RollBlkDot,Pillar,9,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,,GB-PIL-CLR-9ML-RBL-BDOT,GBPillar9RollBlkDot,Pillar,9,hasApplicator,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,GB-PIL-CLR-9ML-CAP-BLK,GBPillar9BlkShSht,Pillar,9,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,,GB-PIL-CLR-9ML-CAP-BLK,GBPillar9BlkShSht,Pillar,9,hasApplicator,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,GB-TUL-CLR-6ML-CAP-SBLK,GBTulip6BlkShSht,Tulip,6,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,,GB-TUL-CLR-6ML-CAP-SBLK,GBTulip6BlkShSht,Tulip,6,hasApplicator,,Required prompt fields are missing for automated image generation.
color_raw_missing,color,BB-SP-000-0102,CMP-SPR-LVN-BULB,AntqSprBulbLavender,Sprayer,0,,,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-SP-000-0102,CMP-SPR-LVN-BULB,AntqSprBulbLavender,Sprayer,0,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-SP-000-0102,CMP-SPR-LVN-BULB,AntqSprBulbLavender,Sprayer,0,hasApplicator | hasCapStyle | hasCanonicalColor,,Required prompt fields are missing for automated image generation.
color_raw_missing,color,BB-SP-000-0144,CMP-SPR-RED-02,GBATom5RedBurg,Sprayer,5,,,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-SP-000-0144,CMP-SPR-RED-02,GBATom5RedBurg,Sprayer,5,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-SP-000-0144,CMP-SPR-RED-02,GBATom5RedBurg,Sprayer,5,hasHeightWithoutCap | hasCanonicalColor,,Required prompt fields are missing for automated image generation.
color_raw_missing,color,BB-CL-000-0022,CMP-CLS-BLK-13-425,CP13-425Blk,Cap/Closure,0,,,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-CL-000-0022,CMP-CLS-BLK-13-425,CP13-425Blk,Cap/Closure,0,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-CL-000-0022,CMP-CLS-BLK-13-425,CP13-425Blk,Cap/Closure,0,hasCapStyle | hasHeightWithoutCap | hasCanonicalColor,,Required prompt fields are missing for automated image generation.
color_derived_from_text,color,BB-CL-000-0023,CMP-CLS-WHT-13-425,CP13-425Wht,Cap/Closure,0,,White,Canonical color differs from or augments source color evidence.
color_raw_missing,color,BB-CL-000-0023,CMP-CLS-WHT-13-425,CP13-425Wht,Cap/Closure,0,,White,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-CL-000-0023,CMP-CLS-WHT-13-425,CP13-425Wht,Cap/Closure,0,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-CL-000-0023,CMP-CLS-WHT-13-425,CP13-425Wht,Cap/Closure,0,hasCapStyle | hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
color_raw_missing,color,BB-CL-000-0005,CMP-CLS-BLK-03,CapBlackPoly22mm-400,Cap/Closure,0,,,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-CL-000-0005,CMP-CLS-BLK-03,CapBlackPoly22mm-400,Cap/Closure,0,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-CL-000-0005,CMP-CLS-BLK-03,CapBlackPoly22mm-400,Cap/Closure,0,hasCapStyle | hasHeightWithoutCap | hasCanonicalColor,,Required prompt fields are missing for automated image generation.
color_raw_missing,color,BB-CL-000-0066,CMP-CAP-PHN-24400-BLK,CP24-400BlkPls,Cap/Closure,0,,,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-CL-000-0066,CMP-CAP-PHN-24400-BLK,CP24-400BlkPls,Cap/Closure,0,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-CL-000-0066,CMP-CAP-PHN-24400-BLK,CP24-400BlkPls,Cap/Closure,0,hasApplicator | hasCapStyle | hasCanonicalColor,,Required prompt fields are missing for automated image generation.
color_raw_missing,color,BB-CL-000-0008,CMP-CLS-BLK-06,CJ30BlkCap,Cap/Closure,30,,,Canonical color differs from or augments source color evidence.
